id,nama_lokasi,gi,funloc_id
f4fc96c5-9505-4750-8137-d3d083c52b29,GI 150 BATURAJA BAY KAPASITOR 1,GI 150KV BATURAJA,TRS-3224-098.098-B0017
a327b7b1-3e23-4dc8-beeb-896d5f8385d7,GI BTRJA BAY TD 2 30 MVA,GI 150KV BATURAJA,TRS-3224-098.098-B0002
36ac6f29-729f-4430-95af-d3bb7c6ff863,CUBICLE TRF#2,GI 150KV BATURAJA,TRS-3224-098.098-B0012
3fd5b3f2-2461-4c67-8193-2b6394999868,GI BTRJA BAY PT SEMEN 2,GI 150KV BATURAJA,TRS-3224-098.098-B0016
7843441f-87bc-483f-85ed-3f29df12caa1,GI 150KV BATURAJA,GI 150KV BATURAJA,TRS-3224-098.098
2b75ec47-d62a-4b4f-bcfa-6fcb82d27660,GI BTRJA BAY TD 3 60 MVA,GI 150KV BATURAJA,TRS-3224-098.098-B0003
7ad51580-d5af-4ecf-8956-b192b53aafc7,GI BTRJA BAY BUKIT ASAM 1,GI 150KV BATURAJA,TRS-3224-098.098-B0004
434b42a4-aa9e-4345-b95c-e23001c2e8d8,CUBICLE TRF#3,GI 150KV BATURAJA,TRS-3224-098.098-B0013
3c6defaa-7d2a-4767-9509-ec27b450d531,GI 150 BATURAJA BAY KAPASITOR 2,GI 150KV BATURAJA,TRS-3224-098.098-B0018
03e25766-f6de-4d08-9fe1-dfb569dab92d,GI BTRJA BAY TD 1 60 MVA,GI 150KV BATURAJA,TRS-3224-098.098-B0001
c43e7ee7-73e4-484d-bac6-4adf7d3c8f48,GI BTRJA BAY MARTAPURA 1,GI 150KV BATURAJA,TRS-3224-098.098-B0006
dbccbaf9-52ab-4668-b28e-8293ef9727ab,GI BTRJA BAY TRAFO#4 TEST,GI 150KV BATURAJA,TRS-3224-098.098-B0014
33c11c27-3b24-4bb0-a6ca-7e499ac50eb6,GI BTRJA BAY PT SEMEN,GI 150KV BATURAJA,TRS-3224-098.098-B0015
2dcaf8df-5d07-434d-b538-103578daf8a5,GI 150 BATURAJA BAY KAPASITOR 3,GI 150KV BATURAJA,TRS-3224-098.098-B0019
79f1a69a-f9de-4301-8cbb-51bcc386368b,GI BTRJA BAY MARTAPURA 2,GI 150KV BATURAJA,TRS-3224-098.098-B0007
86007879-5da4-4e8e-9737-b0db0363cf61,GI BTRJA BAY KOPEL,GI 150KV BATURAJA,TRS-3224-098.098-B0010
7f82cb17-37ba-4597-92f6-0eae0f9a1bd4,CUBICLE TRF#1,GI 150KV BATURAJA,TRS-3224-098.098-B0011
9ea27049-a4cc-4dac-a702-9641ff46a740,GEDUNG GI 150 kV GI BATURAJA,GI 150KV BATURAJA,TRS-3224-098.098-G0001
17679233-4b8e-45c6-8eab-35fa2a2d4561,GI BTRJA BAY BUKIT ASAM 2,GI 150KV BATURAJA,TRS-3224-098.098-B0005
eaa5695b-c817-4441-9a89-9db23284363c,GI 150KV BLAMBANGAN UMPU,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102
da505475-6119-4d03-bb28-c8dfb1162a7f,GI BLAMBANGAN UMPU BAY BUSBAR B 150kV,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0005
8a7b0854-8734-4e98-81b0-d9690758c72b,GI BLAMBANGAN UMPU TD.2 150/20kV,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0008
9e1e6dfd-4631-47e2-9c97-2b9c46dcad48,GI BLAMBANGAN UMPU BAY BUKIT KEMUNING 1,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0003
5e3c2310-1520-49b3-9cb3-d1bf5c15c7b7,GI BLAMBANGAN UMPU BAY BUSBAR A 150kV,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0004
d8124e2e-30c6-40fd-8336-fd4c0aea391c,GEDUNG GI 150 kV GI BLAMBANGAN UMPU,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-G0001
a3e151c4-e7f3-43fe-8161-1feb35e77c5d,GI BLAMBANGAN UMPU TD.1 150/20kV,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0001
a9d3bf1e-9b7a-4080-97f5-c21579adbc24,GI BLAMBANGAN UMPU BAY CUBICLE TRF#1,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0006
7dae84cd-d831-432a-95af-c71eee13662f,GI BLMPU BAY KAPASITOR,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0007
faac83a6-a08d-4ff4-9eda-5811f07b33a6,GI BLAMBANGAN UMPU BAY BUKIT KEMUNING 2,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0002
5ef44f4a-e82b-477b-81b1-4543b896386c,GI 150 BLAMBANGAN UMPU BAY MARTAPURA 1,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0010
07a1a1e6-d08f-414e-869a-4b054d06e2db,GI 150 BLAMBANGAN UMPU BAY KOPEL,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0009
b203eb9f-4936-445b-9ffd-36e59e8b5a69,GI 150 BLAMBANGAN UMPU BAY MARTAPURA 2,GI 150KV BLAMBANGAN UMPU,TRS-3224-102.102-B0011
9ac7fdd7-0dd0-46ce-bf20-d91569495297,GI BKSAM BAY 150/20 KV TD#1,GI 150KV BUKIT ASAM,TRS-3224-073.073-B0001
cbe930d5-3f32-42ee-bb69-f25b479ce9b6,GI BKSAM BAY PHT 150 kV GUMEG#1,GI 150KV BUKIT ASAM,TRS-3224-073.073-B0003
