Nama Lokasi	GI	Funloc ID (FID)
GI 150 BATURAJA BAY KAPASITOR 1	GI 150KV BATURAJA	TRS-3224-098.098-B0017
GI BTRJA BAY TD 2 30 MVA	GI 150KV BATURAJA	TRS-3224-098.098-B0002
CUBICLE TRF#2	GI 150KV BATURAJA	TRS-3224-098.098-B0012
GI BTRJA BAY PT SEMEN 2	GI 150KV BATURAJA	TRS-3224-098.098-B0016
GI 150KV BATURAJA	GI 150KV BATURAJA	TRS-3224-098.098
GI BTRJA BAY TD 3 60 MVA	GI 150KV BATURAJA	TRS-3224-098.098-B0003
GI BTRJA BAY BUKIT ASAM 1	GI 150KV BATURAJA	TRS-3224-098.098-B0004
CUBICLE TRF#3	GI 150KV BATURAJA	TRS-3224-098.098-B0013
GI 150 BATURAJA BAY KAPASITOR 2	GI 150KV BATURAJA	TRS-3224-098.098-B0018
GI BTRJA BAY TD 1 60 MVA	GI 150KV BATURAJA	TRS-3224-098.098-B0001
GI BTRJA BAY MARTAPURA 1	GI 150KV BATURAJA	TRS-3224-098.098-B0006
GI BTRJA BAY TRAFO#4 TEST	GI 150KV BATURAJA	TRS-3224-098.098-B0014
GI BTRJA BAY PT SEMEN	GI 150KV BATURAJA	TRS-3224-098.098-B0015
GI 150 BATURAJA BAY KAPASITOR 3	GI 150KV BATURAJA	TRS-3224-098.098-B0019
GI BTRJA BAY MARTAPURA 2	GI 150KV BATURAJA	TRS-3224-098.098-B0007
GI BTRJA BAY KOPEL	GI 150KV BATURAJA	TRS-3224-098.098-B0010
CUBICLE TRF#1	GI 150KV BATURAJA	TRS-3224-098.098-B0011
GEDUNG GI 150 kV GI BATURAJA	GI 150KV BATURAJA	TRS-3224-098.098-G0001
GI BTRJA BAY BUKIT ASAM 2	GI 150KV BATURAJA	TRS-3224-098.098-B0005
GI 150KV BLAMBANGAN UMPU	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102
GI BLAMBANGAN UMPU BAY BUSBAR B 150kV	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0005
GI BLAMBANGAN UMPU TD.2 150/20kV	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0008
GI BLAMBANGAN UMPU BAY BUKIT KEMUNING 1	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0003
GI BLAMBANGAN UMPU BAY BUSBAR A 150kV	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0004
GEDUNG GI 150 kV GI BLAMBANGAN UMPU	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-G0001
GI BLAMBANGAN UMPU TD.1 150/20kV	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0001
GI BLAMBANGAN UMPU BAY CUBICLE TRF#1	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0006
GI BLMPU BAY KAPASITOR	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0007
GI BLAMBANGAN UMPU BAY BUKIT KEMUNING 2	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0002
GI 150 BLAMBANGAN UMPU BAY MARTAPURA 1	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0010
GI 150 BLAMBANGAN UMPU BAY KOPEL	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0009
GI 150 BLAMBANGAN UMPU BAY MARTAPURA 2	GI 150KV BLAMBANGAN UMPU	TRS-3224-102.102-B0011
GI BKSAM BAY 150/20 KV TD#1	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0001
GI BKSAM BAY PHT 150 kV GUMEG#1	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0003
GI BKSAM BAY PHT 150 kV BTRJA#2	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0006
GI BKSAM BAY PHT 150 kV LAHAT#2	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0008
GI BKSAM BAY PHT 150 kV LAHAT#1	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0007
GI 150KV BUKIT ASAM	GI 150KV BUKIT ASAM	TRS-3224-073.073
BAY CUBICLE TRF#2	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0013
GI BKSAM BAY COUPLE 150kV	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0011
BAY CUBICLE TRF#1	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0012
GI BKSAM BAY PHT 150 kV GUMEG#2	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0004
GI BKSAM BAY PHT 150 kV BTRJA#1	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0005
GI BKSAM BAY BUSBAR B 150kV	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0010
GI BKSAM BAY BUSBAR A 150kV	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0009
GI BKSAM BAY 150/20 KV TD#2	GI 150KV BUKIT ASAM	TRS-3224-073.073-B0002
GEDUNG GI 150 kV BUKIT ASAM	GI 150KV BUKIT ASAM	TRS-3224-073.073-G0001
GI 150KV GUNUNG MEGANG	GI 150KV GUNUNG MEGANG	TRS-3224-076.076
GI GUMEG BAY BUSBAR A 150kV	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0006
GI GUMEG BAY COUPLE 150kV	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0008
GI GUMEG BAY CUBICLE TRF#2	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0012
GEDUNG GI 150 kV GUNUNG MEGANG	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-G0001
GI GUMEG BAY TRF#1 150/20kV	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0001
GI GUMEG BAY TRF#2 150/20kV	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0013
GI GUMEG BAY PHT 150 kV PNDPO#1	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0004
GI GUMEG BAY PHT 150 kV PNDPO#2	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0005
GI GUMEG BAY BUSBAR B 150kV	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0007
GI GUMEG BAY PHT 150 kV BKSAM#1	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0002
GI GUMEG BAY CUBICLE TRF#1	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0009
GI GUMEG BAY PHT 150 kV BKSAM#2	GI 150KV GUNUNG MEGANG	TRS-3224-076.076-B0003
GI LUMUT BALAI BUSBAR A 150 KV	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0006
GI LUMUT BALAI BAY PHT 150 KV RDDAP 1	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0008
GI LBLAI BAY PHT 150 KV PLTP LBLAI 1	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0001
GI LUMUT BALAI BAY KOPEL 150 KV	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0005
GI LUMUT BALAI BAY PHT 150 KV RDDAP 2	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0009
GI 150KV LUMUT BALAI	GI 150KV LUMUT BALAI	TRS-3224-243.243
GI LUMUT BALAI BAY 150/20 KV TD#1	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0003
GI LUMUT BALAI KUBIKEL 20 KV TD#1	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0004
GI LUMUT BALAI BUSBAR B 150 KV	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0007
GI LBLAI BAY PHT 150 KV PLTP LBLAI 2	GI 150KV LUMUT BALAI	TRS-3224-243.243-B0002
GI 150 kV MARTAPURA BAY BATURAJA 1	GI 150KV MARTAPURA	TRS-3224-181.181-B0004
GI MARTAPURA BUSBAR B 150 KV	GI 150KV MARTAPURA	TRS-3224-181.181-B0011
GI 150 kV MARTAPURA BAY BATURAJA 2	GI 150KV MARTAPURA	TRS-3224-181.181-B0005
